"title";"body";"rating";"review_date";"source";"curated";"reviewer_name";"reviewer_email";"product_id"
"insgesamt begeistert !";"Habe den Maxxus 20,0 seit einer Woche und bin total begeistert.";"5";"2017-11-14 00:00:00";"";"";"Kalich, Bautzen";"anonym@gsg.com";"8155779760344"
"alles bestens.....";"Der Grill ist jeden Euro wert.....top";"5";"2018-03-07 00:00:00";"";"";"Bernd";"anonym@gsg.com";"8155757379800"
"Absolute Spitzenklasse in allen Kategorien.";"Der Service von Maxxus Sucht seinesgleichen. Das betrifft die Kaufberatung, den Kundenservice und auch die Produktqualität. Absolute Spitzenklasse!";"5";"2017-11-07 00:00:00";"";"";"Bernhard";"anonym@gsg.com";"8162338996440"
"Super Grill zum mehr als fairen Preis.";"Ein sehr schöner Grill zum spitzen Preis.  Verarbeitung besser als gedacht. Eig keine scharfen Kanten und der zsm Bau hat super mit 2 man in 1,5 std geklappt. Super schneller Versand.
Das Wichtigstes aber ist das Grill Ergebnis. Vom Feinsten , ich denke ein gewisser anderer Hersteller kann das nicht besser. Kann den BBQ Chief 12 nur weiter empfehlen.";"5";"2018-01-04 00:00:00";"";"";"M.L";"anonym@gsg.com";"8188330967256"
"Top Gerät";"Sehr stabiles und hochwertig verarbeitetes Gerät. Sehr gute Aufbauanleitung. Vielseitige Programme. Schrittlänge auch für große Personen geeignet. Preis absolut gerechtfertigt.";"5";"2018-11-26 19:56:23";"";"";"Anonym";"anonym@gsg.com";"8155033731288"
"Preis-/Leistungsverhältnis: Gut ;8]";"Die Schrittlängenverstellung bei diesem Gerät ist herausragend unter den Crosstrainern. Sowas findet man nicht so leicht, obwohl es eine klasse Idee ist. Der Zusammenbau ist auch alleine machbar, aber man muss schon einiges beachten: So gibt es äußerst schwere Geräteteile, welche lieber (dem Rücken wegen) eigentlich von zwei Leuten getragen werden sollten. Selbiges ist bei der Anlieferung der schweren Kartons zu beachten. Die Schraubverbindungen dürfen nicht zu fest, noch zu locker angezogen werden; sonst entstehen ggf. Knackgeräusche an den Gelenken oder andere unschöne Nebenwirkungen. Es war am Anfang nicht leicht die Balance zu finden. Mein erstes Training musste ich dreimal unterbrechen um entstandene Geräusche zu untersuchen und zu beseitigen, aber mitlerweile verstehe ich mich ganz gut mit dem Gerät. Dennoch sind immer gelegentliche Wartungsarbeiten notwendig (Gleitschienen reinigen und schmieren und andere Dinge, die mit der Zeit notwendig werden). Das Gerät läuft sehr leise. Daumen hoch. Es ermöglicht ein angenehmes Heimtraining. Der Polar Pulsgurt sendet den Puls einwandfrei an das Gerät.\r\n\r\nBei meinem Gerät befindet sich auf der Innenseite der Displayabdeckung ein schmieriger Fettstreifen. Das ist nicht schön, fällt aber nur auf wenn das Licht entsprechend auf das Display fällt. Die mitgelieferten Imbusschlüssel sind in Ordnung, das Multifunktionswerkzeug nicht. Wer besseres Werkzeug hat sollte jenes gleich wegschmeißen. Ansonsten wird es aber auch seinen (schlechten) Dienst verrichten.\r\n\r\nNach mitlerweile fünf Trainingseinheiten ziehe ich Bilanz und bin zufrieden. Ich kann natürlich nichts zur Langlebigkeit des Gerätes sagen. Ich hoffe die Qualität ist angemessen. Es gibt nur kleine Makel, die ich fairerweise in die Bewertung einbeziehen muss. Die Bedienungsanleitung ist fehlerhaft, das verschmierte Display erwähnte ich bereits, die Abdeckungen für die oberen Achsen an der Säule sind leicht problematisch finde ich (ich habe sie jetzt weggelassen / ermöglicht auch schnellere Wartung bzw. Kontrolle der Achsen), die Displayanzeige ist nervig (die Anzeige wechselt alle paar Sekunden von Tempo auf Umdrehungen, Puls, Kalorien, Watt, Distanz und das, obwohl alles auch unten in den kleinen Feldern steht. Wenn ich einstelle dass ich z.B. 30 Minuten trainieren möchte, möchte ich dort nur die Zeit rückwärts laufen sehen. Wenn ich eine Strecke abstrampeln möchte, dann möchte ich nur die Strecke angezeigt bekommen usw. Auch der Wert unten links ändert sich. Das hätte man wirklich besser machen können), die beworbenen Apps sind schlecht.\r\n\r\nZum Service von Maxxus kann ich noch nicht viel sagen. Ich denke man kann mir weiterhelfen, sollten mal Probleme auftauchen. Das Gerät wurde schnell auf den Weg gebracht. Ich hoffe ich konnte einen hilfreichen Eindruck vermitteln. Ich denke das Produkt ist empfehlenswert, stabil, hat alle wichtigen Funktionen und gute Eigenschaften. Es macht mir Spaß alle zwei Tage darauf zu trainieren und glaube dass ich es auch so belassen werde.";"4";"2019-01-22 15:18:25";"";"";"Anonym";"anonym@gsg.com";"8150977151192"
"Super!";"Ich bin mit der Multipresse MAXXUS 10.1 bislang sehr zufrieden. \r\nAlle beweglichen Elemente wie z. B. die Rollen oder Schienen laufen sehr flüssig.\r\nDie Kabel bzw. Seile laufen einwandfrei in den dafür vorgesehenen Führungen. \r\n\r\nDie Lieferung erfolgte in zwei einzelnen Umverpackungen. \r\nIm ersten Karton war die Hantelbank mit den Anbauteilen enthalten.\r\nDie Multipresse selbst war in einer Holzkiste verpackt. Alle Anbauteile waren sehr gut mit Folie eingepackt, sodass während des Transports keine Beschädigungen passieren konnten. \r\n\r\nDie Aufbauanleitung war gut und verständlich. Jedoch gab es an einer Stelle eine Unstimmigkeit, da dort der Text aus einem vorherigen Arbeitsschritt reinkopiert wurde. Anhand der Bilder klappt aber auch das letztendlich, wenn auch leicht verzögert. \r\n\r\nAlle Bohrungen passten bei uns einwandfrei. Lackschäden waren auch absolut keine vorhanden. \r\n\r\nDas Training macht mit der Multipresse (an der man auch mit einer freien Langhantel trainieren kann) sehr viel Spaß und kann wirklich sehr vielfältig gestaltet werden.\r\nBislang konnte ich alle Übungen und Variationen, wie auch im Fitnessstudio, ausführen. Ich habe absolut keine Einschränkungen. Durch separat erhältliche Griffe können die Möglichkeiten bei Bedarf noch erweitert werden. Auch die Erweiterung der Hantelbank für z. B. das Beintraining ist wirklich gut gelungen. Ich persönlich bin sehr zufrieden mit der Kaufentscheidung. \r\n\r\n";"5";"2019-01-28 10:41:37";"";"";"Anonym";"anonym@gsg.com";"8162339061976"
"Gutes Laufband";"Die Lieferung war einwandfrei und auch der Aufbau war einfach und schnell.\r\nDie Programme sind vielfältig und mit einem Brustgurt von POLAR sowie der App FitShow macht das Laufen richtig spaß.\r\nDer einzig negative Punkt ist die Programmsprache, die leider nicht in Deutsch zur Verfügung steht. Somit würde ich 4,5 Sterne geben.";"5";"2019-02-28 14:52:43";"";"";"Anonym";"anonym@gsg.com";"8155610775768"
"Service und Aufbau";"Telefonische Beratung vor dem Kauf durch Herrn Ehlert = top. Freundlich und kompetent. Gute pünktliche Lieferung nach Absprache mit dem Spediteur. Aufbau völlig problemlos in 1,5 Stunden mit zwei Mann.\r\nAngrillen war auch super. Den Grill kann man mit ruhigem Gewissen empfehlen.\r\n\r\nP. Köhler";"5";"2019-02-28 15:21:07";"";"";"Anonym";"anonym@gsg.com";"8155757379800"
"Hervorragendes Gerät auch für mobilitätseingeschränkte Personen";"Super bequemes Bike, das nicht nur mit tiefem Einstieg, sondern vor allem mit der ergonomischen Lenkerstellung punkten kann. Die horizontale Griffmöglichkeit findet man sonst nur bei erheblich hochpreisigeren Bikes - häufig Studioqualität und für den Heimgebrauch überdimensioniert. Dieses Bike ist wegen der ergonomischen Griffmöglichkeit auch für Personen mit neuromuskulären Erkrankungen, MS, Arthrose etc. hervorragend geeignet (bin selbst schwerbehindert). Und natürlich auch für Senioren und gesunde Personen, die einfach nur bequem fahren und Spaß haben wollen. Der Sattel ist ein Traum, auch nach langen Fahrten. Als Vielfahrerin bin ich begeistert und erleichtert, dass mein altes Bike den Geist aufgegeben hat und ich bei der Suche nach einem Ersatzgerät auf das Maxxus 4.2 gestoßen bin. Hätte ich es bloß früher gefunden...\r\nGroßes Kompliment auch an den Maxxus Vertrieb, super Beratung und sehr persönlicher Umgang. Danke dafür!";"5";"2019-03-12 14:57:09";"";"";"Anonym";"anonym@gsg.com";"8150981312728"
"Fazit nach 2 Jahren";"Das Gerät habe ich seit 2 Jahren in Betrieb, ca. 2 bis 3 mal in der Woche.\r\nDie folgenden Punkte sind jetzt aufgetreten.\r\n\r\n- knarzende Geräusche beim ich sage mal Zugbeginn. Laut Auskunft vom Service ist hier die Rückholeinheit zu ersetzen. Laut Service kostet diese ~ 70€\r\n\r\n- knarzende Geräusche auf einen bestimmten Punkt der Laufschiene. Die Ursache hierfür ist, dass die Laufschiene an der knarzenden Ecke Beschädigungen aufweist. Meiner Meinung nach, ist das ein Materialfehler.\r\n\r\nLeider sind diese Probleme laut Auskunft vom Service nicht über Garantie abzuwickeln.\r\n\r\nFazit, das Rudergerät ist bis auf diese Schwächen gut - vom Service bin ich nicht begeistert.";"2";"2019-03-22 10:41:54";"";"";"Anonym";"anonym@gsg.com";"8143823143128"
"Klasse Verarbeitung";"Das Gerät ist sehr gut verarbeitet. Ich hatte zuvor ein günstigeres Gerät gekauft, dass ich aufgrund der miserablen Verarbeitung zuückschicken musste. Der Zusammenbau hatte ca. 30 Minuten gedauert. Es ist hilfreich, wenn eine zweite Person mit anpackt. Man liegt sehr bequem auf der gut gepolsterten Liegefläche. Ich kann nur jedem empfehlen bei einem solchen Gerät nicht zu sparsam zu sein. Dieser Schwerkrafttrainer ist jeden Euro wert. Ich würde ihn jederzeit wieder kaufen.\r\n\r\n";"5";"2019-03-24 18:57:14";"";"";"Anonym";"anonym@gsg.com";"8155773534424"
"Laufband 4.2i";"Die Beratung bei Maxxus in Weiterstadt ist super. Das Personal ist sehr kompetent, nimmt sich Zeit für die Kunden und geht auf die Wünsche ein.\r\nDas Laufband ist nicht so riesengroß und gut geeignet für die Wohnung. Für den Zweck des fit-werdens durch laufen ist es absolut ausreichend und sehr zu empfehlen. Ich renne allerdings nicht auf dem Laufband sondern gehe schnellen Schrittes.\r\nIch kann das Laufband nur empfehlen.";"5";"2019-03-28 18:27:34";"";"";"Anonym";"anonym@gsg.com";"8150979182808"
"Laufband für zu Hause";"Das Laufband ist von der Größe her ideal für den Haushalt. Man benötigt keinen extra Raum, da es nicht zu globig wirkt und sich gut in einer Ecke verstauen lässt.\r\nFür die Bedürfnisse der Bewegung ist es gut ausgestattet. Ich renne nicht auf dem Laufband, wäre aber auch kein Problem.\r\nDie Beratung und Betreuung des Personals im Testzentrum in Weiterstadt kann ich nur empfehlen. Da Personal nimmt sich Zeit und berät neutral. Ich würde jederzeit wieder ein Gerät von Maxxus kaufen.";"5";"2019-03-29 11:04:35";"";"";"Anonym";"anonym@gsg.com";"8150979182808"
"gute Beratung, reibungslose Lieferung, gutes Gerät";"Vor dem Kauf war ich bei Maxxus in Weiterstadt und habe mich dort persönlich beraten lassen. Der Verkäufer war sehr hilfreich und hat mir genau erklärt, wo die Unterschiede in der Ausstattung der einzelnen Kraftstationen liegen. \r\nDer Versand hat reibungslos zum vereinbarten Termin geklappt. Die mitgelieferte Montageanleitung war aufgrund der detaillierten Bilder sehr verständlich, sodass auch beim Aufbau keine Probleme auftraten. Das Gerät ist bei mir mittlerweile 3 Monate in Gebrauch und ich bin sehr zufrieden mit der Qualität und dem Handling.";"5";"2019-04-02 14:54:53";"";"";"Anonym";"anonym@gsg.com";"8162338963672"
"super Ware, angenehmes Trainieren";"Der Boxsack war leicht aufzubauen. Ursprünglich wollte ich den Standfuß des Boxsacks mit Sand füllen, aufgrund einer Verengung zwischen Einfüllöffnung und dem eigentlichen Behälter habe ich mich allerdings für Wasser entschieden, da ich Angst vor einer Verblockung hatte. Aber auch mit einer Wasserfüllung stet der Boxsack sehr sicher. Alles in allem ein super Trainingsgerät für Kampfsportler, die sich auch gerne mal zuhause ohne Trainingspartner austoben wollen. Ich habe den Boxsack jetzt ca. 1,5-2 Jahre und bin sehr zufrieden mit der Qualität des Produktes.";"5";"2019-04-02 15:22:14";"";"";"Anonym";"anonym@gsg.com";"8151068704984"
"mbm";"hujuhj";"5";"2019-05-25 19:34:46";"";"";"Anonym";"anonym@gsg.com";"8162338963672"
